time_stamp,lat,lon,alt
2026-05-28T02:57:59.547,24.9431493,121.3713886,0.59
2026-05-28T02:58:00.551,24.9431479,121.371386,0.508
2026-05-28T02:58:01.556,24.9431472,121.3713839,0.491
2026-05-28T02:58:02.551,24.9431477,121.3713817,0.508
2026-05-28T02:58:03.544,24.9431484,121.3713788,0.664
2026-05-28T02:58:04.548,24.9431504,121.3713802,0.68
2026-05-28T02:58:05.553,24.9431524,121.37138,0.624
2026-05-28T02:58:06.549,24.9431547,121.3713826,0.545
2026-05-28T02:58:07.562,24.9431573,121.3713856,0.805
2026-05-28T02:58:08.545,24.9431606,121.37139,0.63
2026-05-28T02:58:09.549,24.9431625,121.3713912,0.336
2026-05-28T02:58:10.557,24.9431643,121.3713926,0.613
2026-05-28T02:58:11.550,24.9431665,121.3713966,0.714
2026-05-28T02:58:12.552,24.9431669,121.371396,0.683
2026-05-28T02:58:13.555,24.9431675,121.3713955,0.726
2026-05-28T02:58:14.547,24.9431677,121.3713937,0.743
2026-05-28T02:58:15.552,24.9431689,121.371393,0.726
2026-05-28T02:58:16.537,24.9431698,121.3713926,0.449
2026-05-28T02:58:17.549,24.943169,121.3713887,0.675
2026-05-28T02:58:18.550,24.9431702,121.3713877,0.655
2026-05-28T02:58:19.552,24.9431704,121.3713852,0.621
2026-05-28T02:58:20.546,24.9431716,121.3713839,0.813
2026-05-28T02:58:21.547,24.9431727,121.3713825,0.672
2026-05-28T02:58:22.557,24.9431749,121.3713836,0.98
2026-05-28T02:58:23.555,24.9431759,121.3713839,0.689
2026-05-28T02:58:24.542,24.9431764,121.3713825,0.627
2026-05-28T02:58:25.549,24.9431772,121.3713827,0.802
2026-05-28T02:58:26.539,24.9431774,121.3713806,0.717
2026-05-28T02:58:27.555,24.9431781,121.371378,0.627
2026-05-28T02:58:28.546,24.9431777,121.3713738,0.729
2026-05-28T02:58:29.554,24.9431785,121.3713721,0.483
2026-05-28T02:58:30.556,24.9431778,121.3713686,0.429
2026-05-28T02:58:31.544,24.9431776,121.371367,0.864
2026-05-28T02:58:32.552,24.9431756,121.3713624,0.551
2026-05-28T02:58:33.553,24.9431752,121.3713601,0.909
2026-05-28T02:58:34.536,24.9431734,121.3713557,0.794
2026-05-28T02:58:35.542,24.9431721,121.371352,0.627
2026-05-28T02:58:36.548,24.943169,121.3713467,0.454
2026-05-28T02:58:37.540,24.9431656,121.3713412,0.257
2026-05-28T02:58:38.548,24.9431648,121.3713384,0.729
2026-05-28T02:58:39.547,24.9431645,121.3713358,0.878
2026-05-28T02:58:40.548,24.9431648,121.3713338,0.511
2026-05-28T02:58:41.534,24.9431651,121.3713313,0.545
2026-05-28T02:58:42.536,24.9431659,121.371331,0.859
2026-05-28T02:58:43.538,24.9431662,121.3713291,0.7
2026-05-28T02:58:44.530,24.9431662,121.3713281,0.389
2026-05-28T02:58:45.537,24.9431673,121.3713283,0.624
2026-05-28T02:58:46.531,24.943166,121.3713249,0.584
2026-05-28T02:58:47.529,24.9431671,121.3713245,0.288
2026-05-28T02:58:48.548,24.9431654,121.371321,0.536
2026-05-28T02:58:49.548,24.9431652,121.3713203,0.717
2026-05-28T02:58:50.550,24.9431644,121.3713172,0.63
2026-05-28T02:58:51.534,24.9431648,121.3713163,0.593
2026-05-28T02:58:52.547,24.9431651,121.371315,0.494
2026-05-28T02:58:53.545,24.9431654,121.3713128,0.745
2026-05-28T02:58:54.545,24.9431646,121.3713087,0.596
2026-05-28T02:58:55.548,24.9431653,121.3713069,0.909
2026-05-28T02:58:56.540,24.9431646,121.3713046,0.706
2026-05-28T02:58:57.537,24.9431645,121.3713027,0.765
2026-05-28T02:58:58.567,24.9431639,121.3712992,0.692
2026-05-28T02:58:59.539,24.9431631,121.3712962,0.502
2026-05-28T02:59:00.540,24.9431624,121.3712935,0.909
2026-05-28T02:59:01.551,24.9431633,121.3712928,0.624
2026-05-28T02:59:02.552,24.9431633,121.3712915,0.551
2026-05-28T02:59:03.540,24.9431634,121.37129,0.61
2026-05-28T02:59:04.553,24.9431636,121.3712887,0.686
2026-05-28T02:59:05.546,24.9431633,121.3712854,0.697
2026-05-28T02:59:06.545,24.943164,121.3712847,0.63
2026-05-28T02:59:07.542,24.9431676,121.3712759,0.729
2026-05-28T02:59:08.541,24.9431713,121.3712681,0.675
2026-05-28T02:59:09.541,24.9431753,121.3712599,0.98
2026-05-28T02:59:10.539,24.9431787,121.3712528,0.729
2026-05-28T02:59:11.549,24.9431832,121.3712469,1.096
2026-05-28T02:59:12.548,24.9431866,121.3712403,0.587
2026-05-28T02:59:13.552,24.9431882,121.371232,0.768
2026-05-28T02:59:14.548,24.9431899,121.3712261,0.709
2026-05-28T02:59:15.551,24.9431919,121.3712198,0.584
2026-05-28T02:59:16.553,24.9431938,121.3712136,0.644
2026-05-28T02:59:17.542,24.9431949,121.371207,0.991
2026-05-28T02:59:18.542,24.9431984,121.3712034,0.785
2026-05-28T02:59:19.537,24.9432002,121.3711973,0.799
2026-05-28T02:59:20.548,24.9432029,121.3711924,0.909
2026-05-28T02:59:21.537,24.943205,121.3711865,0.689
2026-05-28T02:59:22.542,24.9432061,121.3711815,0.613
2026-05-28T02:59:23.546,24.9432073,121.3711773,0.878
2026-05-28T02:59:24.561,24.9432093,121.3711749,0.85
2026-05-28T02:59:25.541,24.9432108,121.371171,0.813
